ID	Gene names	Peptides	Exp_EB_rep1	Exp_EB_rep2	Exp_EB_rep3	Exp_ESC_rep1	Exp_ESC_rep2	Exp_ESC_rep3	Exp_hFF_rep1	Exp_hFF_rep2	Exp_hFF_rep3	Exp_iPSC_rep1	Exp_iPSC_rep2	Exp_iPSC_rep3	Exp_RKO_rep1	Exp_RKO_rep2	Exp_RKO_rep3	Sm_EB_rep1	Sm_EB_rep2	Sm_EB_rep3	Sm_ESC_rep1	Sm_ESC_rep2	Sm_ESC_rep3	Sm_hFF_rep1	Sm_hFF_rep2	Sm_hFF_rep3	Sm_iPSC_rep1	Sm_iPSC_rep2	Sm_iPSC_rep3	Sm_RKO_rep1	Sm_RKO_rep2	Sm_RKO_rep3
A0A024RBG1	NUDT4_A0A024RBG1	11	0.168662467	0.026064177	0.232483978	0.231892016	-0.044137982	0.154096188	0.038518964	-0.008356677	-0.061413606	0.073710318	-0.118512525	-0.017818636	0.741214028	0.496229656	0.753751249	-0.402592966	-0.642295925	-0.776430555	-0.298630071	-0.51194132	-0.885985777	-0.68477248	-0.520744406	-0.83616853	-0.050871342	-0.293860412	-0.367683027	-0.570327482	-0.302350355	-0.730943393
A0A140G945;P02489	CRYAA	15	2.332475626	0.969288637	0.893589599	-1.576322199	-2.103913257	-1.892365699	-1.547307626	-1.920625704	-1.170441635	-1.854992255	-2.139249409	-1.917558553	-1.687914565	-2.152188045	-1.194959159	-0.489205901	-0.425840081	1.551473797	0.880713662	-0.249099851	0.011409173	0.437484204	0.055936382	0.616457763	0.998547762	-0.05865462	0.183041821	0.222614614	0.293668127	0.80377648
A0AV96	RBM47	11	0.997038666	1.200143764	1.168289248	0.645459079	0.670150162	0.605025625	-1.032698919	-0.864923612	-0.705491807	0.659494775	0.801106039	0.790119355	-1.148675181	-1.212265739	-1.104481825	-2.021731843	-2.028978056	-1.83474462	-1.387337822	-1.254757551	-1.363187383	-0.109974937	-0.21280263	-0.113541674	-1.576628147	-1.485485361	-1.480513002	-0.088879742	-0.179124229	0.082570714
A0AVF1	TTC26	4	0.635841571	0.062136442	-0.640736529	0.469293223	-0.019820496	0.239342182	-0.428517284	-0.232452925	0.363145359	0.509581488	-0.016134093	0.440970721	0.048293739	-0.081491274	-0.004213745	0.268117041	-0.527237886	-1.189578594	0.425116636	-0.410336557	-1.06902003	0.587492603	-0.417768748	0.444382656	0.145242509	-0.738607902	-0.995636367	0.079349106	-0.668975093	0.957278348
A0AVT1	UBA6	52	0.044150441	0.096988099	-0.012912661	-0.05556817	0.010408647	-0.089250957	0.609447469	0.59790401	0.440079239	-0.105384042	-0.124382491	-0.203291101	0.985163237	0.806921947	0.812897753	-0.819942059	-1.025856691	-0.977525284	-0.923527698	-0.780252865	-0.876045523	-1.204604598	-1.236496037	-1.250066331	-0.84754176	-0.901982122	-0.800047049	-0.812423287	-0.78768361	-0.901006893
A0FGR8	ESYT2	25	0.68706295	1.037167057	0.846859505	0.052364986	0.122890593	-0.031501423	0.225795518	0.466080903	0.316333758	-0.099764718	-0.218031643	-0.182619326	-0.18006267	-0.595657358	-0.303406316	-0.545492939	-0.969763567	-0.818765083	-0.461507279	-0.825073651	-0.613589047	-0.714998277	-0.856503894	-0.561624143	-0.280296763	-0.556972632	-0.425323799	-0.088986675	-0.713761792	-0.293697493
A0JLT2	MED19	2	0.003172093	0.270314794	-0.079086957	0.546584455	0.49210697	0.319410137	-0.147718231	-0.682963612	-0.624753818	0.281933413	0.287013821	0.381805323	0.195891581	-0.367917627	-0.542137269	-0.038633764	-0.974951134	-1.018168371	-0.50117889	-0.790636682	-0.756121274	-0.093832158	-0.272856218	0.001420842	-0.403535252	-1.064071258	-0.573497236	0.244045175	-0.00360981	-0.664803442
A0JNW5	UHRF1BP1L	19	-0.181073078	-0.624565393	-0.694742436	0.265652983	0.332896747	0.421497524	0.033598911	-0.400716034	-0.281724432	-0.069787612	0.013229849	0.083263129	-0.509401611	-0.677531496	-0.565504792	0.417456588	0.076827862	0.009576259	0.125935978	0.499014189	0.219480967	0.296334946	0.364755478	0.217484646	0.148399958	0.476217798	0.385207614	0.147488511	0.527228802	0.176314034
A0MZ66	KIAA1598	29	1.43745505	1.438598956	1.578180354	-0.128812499	-0.250178195	-0.202799654	-0.886568666	-1.135978063	-1.417823375	-0.195876321	-0.323398929	-0.186292745	-0.362958236	-0.419752362	-0.340419823	-0.867294584	-0.772036642	-0.708439544	-0.25428245	-0.529821553	-0.576611225	0.18633311	-0.514031435	-0.528294927	-0.415853869	-0.536747089	-0.489153782	-0.806711337	-0.723884692	-0.718997207
A1A4S6	ARHGAP10	5	1.026789675	0.787642295	0.62920022	-0.670785432	-0.607991508	-0.566481849	0.834511213	0.75323867	0.689481439	-0.487161047	-0.455323136	-0.657075639	-0.603190366	-0.717087806	-0.357950728	-0.823692835	-1.241296781	-0.767219425	-0.402249277	0.51737336	-0.228390921	-0.892484952	-1.15618214	-0.77665408	-0.339380318	-0.340968244	-0.203270634	-0.688979286	-0.522700282	0.110476265
